,image_names,iou_values
0,Abyssinian_122,0.42802158273381297
1,Abyssinian_19,0.402890625
2,Abyssinian_210,0.5785615491009682
3,Abyssinian_24,0.3406604166666667
4,Abyssinian_31,0.4918
5,Abyssinian_44,0.381993531993532
6,Abyssinian_66,0.4834114583333333
7,Abyssinian_9,0.39855122655122655
8,american_bulldog_140,0.7008588588588589
9,american_bulldog_199,0.6065988023952096
10,american_bulldog_95,0.6482228915662651
11,basset_hound_118,0.5953313253012048
12,basset_hound_14,0.5935795795795796
13,basset_hound_181,0.8414133333333333
14,beagle_1,0.34594
15,beagle_180,0.5847581287032397
16,Bengal_103,0.5290835579514824
17,Bengal_147,0.6906518518518519
18,Bengal_50,0.4742613333333333
19,Birman_31,0.5663668341708543
20,Birman_7,0.6380213333333333
21,Bombay_16,0.6688513119533528
22,Bombay_48,0.3571488114258722
23,boxer_108,0.6449226666666666
24,boxer_11,0.808624
25,boxer_17,0.5849716994339886
26,boxer_27,0.6633974683544304
27,British_Shorthair_109,0.6976853333333334
28,British_Shorthair_180,0.46364775177364764
29,British_Shorthair_186,0.5007413333333334
30,British_Shorthair_2,0.5602445749910083
31,British_Shorthair_40,0.4490722891566265
32,British_Shorthair_67,0.6253304378133462
33,British_Shorthair_70,0.486185628742515
34,British_Shorthair_72,0.44948948948948947
35,British_Shorthair_93,0.5247855153203342
36,chihuahua_19,0.54410278372591
37,chihuahua_38,0.574672
38,Egyptian_Mau_14,0.36653135738831616
39,Egyptian_Mau_155,0.3960835060777411
40,Egyptian_Mau_187,0.3675345564670611
41,Egyptian_Mau_95,0.4868122977346278
42,english_cocker_spaniel_10,0.5500247139808798
43,english_cocker_spaniel_144,0.4389823529411765
44,english_cocker_spaniel_68,0.5384504504504505
45,english_setter_42,0.5497155503169239
46,english_setter_96,0.34690133333333334
47,german_shorthaired_126,0.2693453453453453
48,german_shorthaired_66,0.4927147692473003
49,havanese_84,0.5598378378378378
50,keeshond_92,0.5122620320855615
51,leonberger_100,0.5173072289156626
52,leonberger_189,0.5147964071856287
53,leonberger_2,0.5366107784431138
54,leonberger_24,0.6850865800865801
55,Maine_Coon_264,0.4605833188162725
56,Maine_Coon_3,0.6521242461404069
57,Maine_Coon_43,0.6753178945983613
58,Maine_Coon_79,0.5107327327327328
59,Maine_Coon_89,0.5081544885177453
60,newfoundland_110,0.48214085708952237
61,Persian_152,0.6024564564564564
62,Persian_16,0.5883497949517703
63,Persian_221,0.6077481481481481
64,Persian_255,0.7154387417218543
65,Persian_4,0.48020714285714283
66,Persian_7,0.5684277903720496
67,pug_13,0.61656
68,pug_65,0.6671172574598739
69,pug_97,0.45454054054054055
70,Ragdoll_125,0.5843573333333333
71,Ragdoll_188,0.46825193624783973
72,Russian_Blue_171,0.5578138138138138
73,Russian_Blue_180,0.7502303370786517
74,Russian_Blue_199,0.4285165165165165
75,Russian_Blue_212,0.4989880239520958
76,Russian_Blue_24,0.5389558281032913
77,Russian_Blue_35,0.488006006006006
78,Russian_Blue_8,0.5055461307581887
79,Russian_Blue_95,0.622595
80,saint_bernard_50,0.644
81,shiba_inu_131,0.4093007334963325
82,shiba_inu_132,0.7141826451789985
83,shiba_inu_140,0.24168039006748684
84,shiba_inu_72,0.5302882781317436
85,Siamese_128,0.5278063063063063
86,Siamese_189,0.5443293413173653
87,Siamese_240,0.6944888888888889
88,Sphynx_139,0.32875112187509864
89,Sphynx_25,0.5061741741741742
90,Sphynx_33,0.3022311832258546
91,Sphynx_37,0.4908168168168168
92,Sphynx_72,0.4899845916795069
93,staffordshire_bull_terrier_41,0.5374534534534534
94,staffordshire_bull_terrier_67,0.43872672672672675
95,wheaten_terrier_1,0.5715893333333333
96,wheaten_terrier_53,0.5260060422960725
97,yorkshire_terrier_75,0.7787590361445783
98,yorkshire_terrier_82,0.4414092307692308
99,yorkshire_terrier_90,0.7572732732732733
